priority,cluster,preferred_url,action,why_now,required_work,dependency_or_gate,cannibalization_action,batch,execution_status
P1,Data Science Course in Jaipur,/data-science-machine-learning-course-jaipur.php,Improve existing,High-lead canonical already exists and legacy aliases are consolidated,Clarify Data Science/ML intent; distinguish analytics and GenAI; improve model/project language,None,Broad AI remains secondary; Data Analytics stays distinct,1,Completed 2026-09-22
P1,Data Analytics Course in Jaipur,/data-analytics-course-jaipur.php,Improve existing,High-lead page overlaps Power BI and Data Science,"Emphasize analyst workflow, SQL, Excel, Python, Power BI and reporting",None,Keep Power BI specialist intent on /power-bi-course-jaipur.php,1,Completed 2026-09-22
P1,Full Stack Development Course in Jaipur,/full-stack-web-development-course-in-jaipur.php,Improve existing,Broad high-intent page already canonical,Strengthen stack-neutral full-stack framing and comparison with MERN,None,MERN-specific intent stays on /mern-stack-course-jaipur.php,1,Completed 2026-09-22
P1,MERN Stack Course in Jaipur,/mern-stack-course-jaipur.php,Improve existing,Dedicated canonical overlaps generic Full Stack,"Strengthen MongoDB, Express, React, Node and integrated project language",None,Differentiate from broad Full Stack,1,Completed 2026-09-22
P1,Python Course in Jaipur,/python-programming-course-jaipur.php,Improve existing,Legacy Python URLs already consolidate here,Own beginner programming intent; point data-focused users to Data Science/Data Analytics,None,Do not turn Python page into Data Science page,1,Completed 2026-09-22
P1,Java Course in Jaipur,/java-programming-course-jaipur.php,Improve existing,Several legacy Java/Core Java/backend aliases already merge here,Lead with Java programming then backend progression; clarify Core Java and Spring scope,None,No new Core Java or Spring money page yet,1,Completed 2026-09-22
P1,Generative AI Course in Jaipur,/generative-ai-course-jaipur.php,Improve existing,Dedicated GenAI canonical exists but broad AI overlap is material,"Own prompting, LLM, API and application intent; state difference from ML/Data Science",None,Broad predictive AI stays with Data Science/ML,1,Completed 2026-09-22
P1,Digital Marketing Course in Jaipur,/digital-marketing-course-jaipur.php,Improve existing next,Canonical exists and is a lead page,Strengthen practical channel workflow and campaign/project proof,After batch-1 mini audit,No duplicate Digital Marketing hub,2,Completed 2026-09-22
P1,Cloud Computing Course in Jaipur,/cloud-computing-aws-course-jaipur.php,Improve existing next,Canonical plus AWS aliases are consolidated,"Strengthen labs, Linux, networking, deployment and monitoring",After batch-1 mini audit,Keep AWS on same canonical,2,Completed 2026-09-22
P1,IT Training Institute in Jaipur,/,Improve homepage later,Homepage should own city-level institute intent,"Connect top money pages, verified locations and trust content without duplicating a Jaipur landing page",Locations verification,Do not create /jaipur/ doorway,2,Core homepage SEO cleanup completed 2026-09-22; deeper content audit ongoing
P2,Graphic Designing Course in Jaipur,/graphic-design-course-jaipur.php,Source validation before creation,Informational guide exists but no canonical course page,"Verify current program, syllabus, tools and projects before migration",Verified current offering and source content,Career guide stays informational,Backlog,Gated
P3,UI UX Course in Jaipur,/ui-ux-design-course-jaipur.php,Hold,No verified course source located,"Collect syllabus, tools, project evidence and offering confirmation",Verified offering,Avoid overlap with web and graphic design,Backlog,Gated
P2,Programming Courses in Jaipur,/programming-courses-jaipur.php,Review legacy source before migration,Legacy programming hub exists but current /courses.php is already broad,Make future page a true language-comparison hub rather than duplicate catalogue,Legacy source review plus internal-link plan,Differentiate from Coding Courses and /courses.php,Hub,Queued
P2,Mansarovar local page,/mansarovar-it-training-institute-jaipur.php,Migrate verified branch source,Legacy branch source exists,Merge duplicates; use unique branch facts; link to shared course canonicals,Verify current address and contact before publish,One canonical branch URL,Local,Gated
P2,Pratap Nagar local page,/pratap-nagar-it-training-institute-jaipur.php,Migrate verified branch source,Legacy Kumbha Marg branch source exists,Merge duplicates; use unique branch facts; link to shared course canonicals,Verify current address and contact before publish,One canonical branch URL,Local,Gated
P2,Jagatpura local page,/jagatpura-it-training-institute-jaipur.php,Migrate verified branch source,Legacy branch source exists,Merge duplicates; use unique local facts; link to shared course canonicals,Verify current address and contact before publish,One canonical branch URL,Local,Gated
P3,Gopalpura local page,/gopalpura-it-training-institute-jaipur.php,Hold,No repository source found,"Verify branch existence, address, contact and local evidence",Location verification,No page until verified,Backlog,Gated
P2,Internship Process,/internship-process.php,Migrate legacy sources later,Trust content supports conversion without adding keyword pages,Consolidate process and evidence; avoid guarantee language,Evidence review,Merge multiple legacy internship pages,Trust,Queued
P2,Placement Assistance,/placement-assistance.php,Migrate legacy source later,Trust content supports money pages,Describe support process precisely and verifiably,Evidence review,Differentiate from student outcomes,Trust,Queued
P2,Locations,/locations.php,Migrate verified location directory later,Needed before scaling branch pages,List only verified branches and link to unique local pages,Branch verification,Directory is not a city doorway,Local,Queued
