section,primary_keyword,secondary_keywords,intent,existing_url,target_url,current_page_type,required_content_improvements,internal_linking_opportunities,cannibalization_risk,local_intent,priority,decision,status
A MONEY / LEAD,Data Science Course in Jaipur,data science training Jaipur; machine learning course Jaipur; data science with Python Jaipur,Transactional / local commercial,/data-science-machine-learning-course-jaipur.php,/data-science-machine-learning-course-jaipur.php,Canonical money page,"Sharpen Data Science vs Data Analytics differentiation; strengthen statistics, model evaluation and project proof",/courses.php; data science career guide; Python; Data Analytics; Generative AI,High - old Data Science and ML aliases plus broad AI intent,Jaipur,P1,Merge legacy Data Science and ML intent here; broad AI stays secondary,Improved 2026-09-22
A MONEY / LEAD,Data Analytics Course in Jaipur,data analyst course Jaipur; Power BI and Python course Jaipur; SQL Excel analytics training Jaipur,Transactional / local commercial,/data-analytics-course-jaipur.php,/data-analytics-course-jaipur.php,Canonical money page,"Emphasize analyst workflow, Excel, SQL, Python, Power BI and business reporting; distinguish from Data Science",/courses.php; analytics guide; Power BI; Data Science; Python,High - overlaps Power BI and Data Science,Jaipur,P1,Differentiate,Improved 2026-09-22
A MONEY / LEAD,Full Stack Development Course in Jaipur,full stack web development course Jaipur; web development course Jaipur; frontend backend course Jaipur,Transactional / local commercial,/full-stack-web-development-course-in-jaipur.php,/full-stack-web-development-course-in-jaipur.php,Canonical money page,"Keep broad stack-neutral full-stack positioning; cover frontend, backend, databases and deployment; explicitly contrast MERN",/courses.php; full-stack guide; MERN; Python; Java,High - MERN and legacy full-stack pages,Jaipur,P1,Merge generic full-stack aliases here and differentiate from MERN,Improved 2026-09-22
A MONEY / LEAD,Python Course in Jaipur,Python programming course Jaipur; Python classes Jaipur; Python training Jaipur,Transactional / local commercial,/python-programming-course-jaipur.php,/python-programming-course-jaipur.php,Canonical money page,Own beginner programming intent and practical exercises; route data-focused users to Data Science or Data Analytics,/courses.php; Python career guide; Data Science; Data Analytics,Medium - legacy Python pages and Python-for-data intent,Jaipur,P1,Merge legacy Python programming URLs here; differentiate from Data Science,Improved 2026-09-22
A MONEY / LEAD,Java Course in Jaipur,Java programming course Jaipur; Core Java course Jaipur; Java backend training Jaipur; Spring Boot course Jaipur,Transactional / local commercial,/java-programming-course-jaipur.php,/java-programming-course-jaipur.php,Canonical money page,"Lead with Java programming then progression to JDBC, Spring Boot and backend; preserve Core Java aliases without duplicate pages",/courses.php; Java guide; Full Stack; programming hub,"High - Core Java, backend Java and Spring legacy pages",Jaipur,P1,"Merge broad Java, Core Java and backend Java intent; hold Spring-only page",Improved 2026-09-22
A MONEY / LEAD,MERN Stack Course in Jaipur,MERN course Jaipur; React Node course Jaipur; MongoDB Express React Node training Jaipur,Transactional / local commercial,/mern-stack-course-jaipur.php,/mern-stack-course-jaipur.php,Canonical money page,"Own MERN-specific intent with JavaScript, React, Node, Express, MongoDB and integrated projects",/courses.php; MERN guide; Full Stack,High - generic full stack and Node/React legacy pages,Jaipur,P1,Differentiate,Improved 2026-09-22
A MONEY / LEAD,AI Course in Jaipur,artificial intelligence course Jaipur; AI with Python Jaipur; machine learning and AI course Jaipur,Transactional / local commercial,/groot-old-wordpress-website/grootacademy.com/best-Ai-Using-Python-course-in-jaipur.php,/data-science-machine-learning-course-jaipur.php,Legacy source plus current Data Science/ML canonical,Use current Data Science/ML page for broad predictive-AI intent for now; do not create separate AI page until a distinct verified syllabus exists,Data Science; Generative AI; Python; AI guides,Very High - Data Science/ML and Generative AI,Jaipur,P1,Change keyword targeting: broad predictive AI to Data Science/ML; Generative AI remains separate,Controlled - no new page
A MONEY / LEAD,Generative AI Course in Jaipur,GenAI course Jaipur; prompt engineering course Jaipur; LLM course Jaipur; AI tools training Jaipur,Transactional / local commercial,/generative-ai-course-jaipur.php,/generative-ai-course-jaipur.php,Canonical money page,"Own GenAI, LLM, prompting, API and AI-application intent; state difference from Data Science/ML",/courses.php; GenAI guide; Python; Data Science/ML,High - broad AI query,Jaipur,P1,Differentiate,Improved 2026-09-22
A MONEY / LEAD,Digital Marketing Course in Jaipur,digital marketing training Jaipur; SEO course Jaipur; social media marketing course Jaipur; PPC course Jaipur,Transactional / local commercial,/digital-marketing-course-jaipur.php,/digital-marketing-course-jaipur.php,Canonical money page,"Strengthen practical campaign workflow across SEO, PPC, social, content, email and analytics",/courses.php; digital marketing guide; web and SEO guides,Medium - future specialist marketing pages,Jaipur,P1,Keep one broad money page until specialist programs are verified,Improved 2026-09-22
A MONEY / LEAD,Cloud Computing Course in Jaipur,AWS course Jaipur; cloud training Jaipur; AWS training Jaipur,Transactional / local commercial,/cloud-computing-aws-course-jaipur.php,/cloud-computing-aws-course-jaipur.php,Canonical money page,"Keep cloud foundations plus AWS together; strengthen labs, Linux, networking, deployment and monitoring",/courses.php; cloud guide; DevOps guide; Cyber Security,Medium - AWS-specific aliases,Jaipur,P1,Merge AWS and cloud course intent into one canonical,Improved 2026-09-22
